,Eb/N0 (dB),Time (s),BER LDPC + ZF,BER LDPC + ZF Status,BER LDPC + ZF Errors,BER LDPC + ZF Total,BER Uncoded + ZF,BER Uncoded + ZF Status,BER Uncoded + ZF Errors,BER Uncoded + ZF Total,SER LDPC + ZF,SER LDPC + ZF Status,SER Uncoded + ZF,SER Uncoded + ZF Status,BER LDPC + MMSE,BER LDPC + MMSE Status,BER LDPC + MMSE Errors,BER LDPC + MMSE Total,BER Uncoded + MMSE,BER Uncoded + MMSE Status,BER Uncoded + MMSE Errors,BER Uncoded + MMSE Total,SER LDPC + MMSE,SER LDPC + MMSE Status,SER Uncoded + MMSE,SER Uncoded + MMSE Status
0,0,6.5582334995269775,0.2411651611328125,Measured,31610,131072,0.15006001790364584,Measured,29503,196608,0.728240966796875,Measured,0.649169921875,Measured,0.24727630615234375,Measured,32411,131072,0.15467325846354166,Measured,30410,196608,0.74884033203125,Measured,0.662933349609375,Measured
1,0.5,0.6822233200073242,0.23284912109375,Measured,30520,131072,0.14049784342447916,Measured,27623,196608,0.709136962890625,Measured,0.618133544921875,Measured,0.23907470703125,Measured,31336,131072,0.1455841064453125,Measured,28623,196608,0.728240966796875,Measured,0.63665771484375,Measured
2,1,0.6516687870025635,0.22031402587890625,Measured,28877,131072,0.13095601399739584,Measured,25747,196608,0.687042236328125,Measured,0.590789794921875,Measured,0.2283782958984375,Measured,29934,131072,0.13586934407552084,Measured,26713,196608,0.70257568359375,Measured,0.605865478515625,Measured
3,1.5,0.6634688377380371,0.20909881591796875,Measured,27407,131072,0.12079366048177083,Measured,23749,196608,0.660400390625,Measured,0.558746337890625,Measured,0.214752197265625,Measured,28148,131072,0.1249542236328125,Measured,24567,196608,0.680328369140625,Measured,0.57220458984375,Measured
4,2,0.7279782295227051,0.19921875,Measured,26112,131072,0.11190287272135417,Measured,22001,196608,0.634185791015625,Measured,0.527557373046875,Measured,0.20542144775390625,Measured,26925,131072,0.11532084147135417,Measured,22673,196608,0.6485595703125,Measured,0.541259765625,Measured
5,2.5,0.7064743041992188,0.18384552001953125,Measured,24097,131072,0.1029815673828125,Measured,20247,196608,0.6065673828125,Measured,0.49468994140625,Measured,0.1910247802734375,Measured,25038,131072,0.1060791015625,Measured,20856,196608,0.622344970703125,Measured,0.507568359375,Measured
6,3,0.6683580875396729,0.16860198974609375,Measured,22099,131072,0.0957183837890625,Measured,18819,196608,0.5760498046875,Measured,0.467926025390625,Measured,0.17742156982421875,Measured,23255,131072,0.09971110026041667,Measured,19604,196608,0.5926513671875,Measured,0.482818603515625,Measured
7,3.5,0.6837031841278076,0.1551971435546875,Measured,20342,131072,0.08647664388020833,Measured,17002,196608,0.5472412109375,Measured,0.43096923828125,Measured,0.163970947265625,Measured,21492,131072,0.0895233154296875,Measured,17601,196608,0.5616455078125,Measured,0.4434814453125,Measured
8,4,0.6835007667541504,0.134307861328125,Measured,17604,131072,0.0786285400390625,Measured,15459,196608,0.51544189453125,Measured,0.39654541015625,Measured,0.14319610595703125,Measured,18769,131072,0.08107503255208333,Measured,15940,196608,0.532562255859375,Measured,0.407623291015625,Measured
9,4.5,0.6584014892578125,0.1087646484375,Measured,14256,131072,0.0709075927734375,Measured,13941,196608,0.48193359375,Measured,0.363800048828125,Measured,0.11882781982421875,Measured,15575,131072,0.07288614908854167,Measured,14330,196608,0.4959716796875,Measured,0.371368408203125,Measured
10,5,0.718071699142456,0.0794525146484375,Measured,10414,131072,0.06422932942708333,Measured,12628,196608,0.45025634765625,Measured,0.3338623046875,Measured,0.09273529052734375,Measured,12155,131072,0.0659332275390625,Measured,12963,196608,0.459014892578125,Measured,0.340606689453125,Measured
11,5.5,0.6379916667938232,0.04204559326171875,Measured,5511,131072,0.0566253662109375,Measured,11133,196608,0.41827392578125,Measured,0.29742431640625,Measured,0.05356597900390625,Measured,7021,131072,0.058293660481770836,Measured,11461,196608,0.429168701171875,Measured,0.3052978515625,Measured
12,6,0.6787118911743164,0.0135650634765625,Measured,1778,131072,0.050196329752604164,Measured,9869,196608,0.387420654296875,Measured,0.267333984375,Measured,0.02150726318359375,Measured,2819,131072,0.0518341064453125,Measured,10191,196608,0.3956298828125,Measured,0.2745361328125,Measured
13,6.5,1.327366590499878,0.00351715087890625,Measured,922,262144,0.043665568033854164,Measured,17170,393216,0.3503265380859375,Measured,0.2350311279296875,Measured,0.005496978759765625,Measured,1441,262144,0.04467010498046875,Measured,17565,393216,0.3579559326171875,Measured,0.2396087646484375,Measured
14,7,8.515888690948486,0.00026753743489583336,Measured,526,1966080,0.03785875108506945,Measured,111650,2949120,0.3151448567708333,Measured,0.20597127278645833,Measured,0.0005376180013020833,Measured,1057,1966080,0.038706461588541664,Measured,114150,2949120,0.32236124674479166,Measured,0.21006266276041666,Measured
15,7.5,22.210843563079834,0.000014671912560096154,Measured,75,5111808,0.032472789797008544,Measured,248992,7667712,0.283115484775641,Measured,0.17807398086939102,Measured,0.000034821339142628203,Measured,178,5111808,0.03326976808727297,Measured,255103,7667712,0.2897041516426282,Measured,0.18213360126201922,Measured
16,8,22.026752948760986,1.9562550080128204e-7,Measured,1,5111808,0.027549808860844016,Measured,211244,7667712,0.2517230694110577,Measured,0.1523719200721154,Measured,1.9562550080128204e-7,Measured,1,5111808,0.028202415531517096,Measured,216248,7667712,0.2578891851963141,Measured,0.15567407852564102,Measured
